Taxa,meanLPBL,LPBL_BLUP,meanUPBLog,UPBL_BLUP,meanRL,RL_BLUP,meanRD,RD_BLUP,family_ID
PR1314_2466,67.4,-15.4112537348593,4.00755562428782,0.119780793776325,210.5,-59.8032077613134,9.566666666,1.00726529993283,Ajabsido
PR1314_2467,80.66,-4.53520144563178,3.86009576587851,0.00169547023758579,246,-28.4289730051176,9.58333333325,0.942695800028723,Ajabsido
PR1314_2468,48.7222222233333,-30.1175784487457,3.90941281236551,-0.0235628129602081,174.916666675,-88.8245054056279,9.4583333335,0.594753611525241,Ajabsido
PR1314_2469,76.375,-9.11120434667972,3.90012856457206,0.00912230607753055,209.166666675,-61.076970159043,9.33333333325,0.77116050298753,Ajabsido
PR1314_2470,63.61111111,-13.2565284733389,4.05099218583275,0.180533417363995,179.777777766667,-79.4177571764393,10.33333333,1.9410688522656,Ajabsido
PR1314_2471,87.541666665,1.05556938360565,4.51992938406465,0.512455585520686,294.999999975,14.5163466344792,12.5,3.39732328479778,Ajabsido
PR1314_2472,63.125,-15.4613516024487,4.23366212493286,0.314741228444713,197.75,-66.3608483233832,9.375,1.17797929899382,Ajabsido
PR1314_2473,76.46666666,-7.97463679042824,3.98564862420069,0.102237747004429,264.13333334,-11.6059748533539,9.9333333334,1.32594362710158,Ajabsido
PR1314_2474,108.1666667,11.6673849249016,4.4387219783898,0.228876299506773,321.6666667,31.5235907679696,11,1.53305423592856,Ajabsido
PR1314_2475,77.133333332,-7.42782671620825,3.87987549998839,0.017535010076229,255.53333334,-19.3343067916435,9.8666666654,1.26800211202795,Ajabsido
PR1314_2476,73.433333332,-10.4626226038509,4.01689531109046,0.127259981331074,225.46666664,-46.353513830657,9.3999999994,0.862411515203781,Ajabsido
PR1314_2477,65.733333332,-16.7782789105667,3.7860625322127,-0.0575900766519295,253.2,-21.4311410444571,11.466666668,2.65859844824283,Ajabsido
PR1314_2478,63.733333334,-18.4187091184629,4.22235132004151,0.291788413350995,227.7,-44.3465438847343,10.1666666666,1.52873892568749,Ajabsido
PR1314_2479,73.200000002,-10.6540061255628,4.1197399403443,0.209617590043482,228.93333334,-43.2382172054227,8.8,0.340937890492074,Ajabsido
PR1314_2480,83.375,0.4335868098182,4.06651484663312,0.187239967552891,266.4166667,-6.17897176171571,9.750000001,1.49357426215384,Ajabsido
PR1314_2481,83.875,-2.55951378407143,4.12232880321858,0.176183343198658,261.93333332,-13.5829900183311,9.3333333334,0.804470001868398,Ajabsido
PR1314_2482,67.75,-9.88885024706267,4.18240935546794,0.220483483110566,281.83333335,4.33555582226109,10.1666666685,1.81209629692329,Ajabsido
PR1314_2483,62.7222222233333,-14.504900339918,3.79409757477826,0.00547913562806511,197.888888866667,-63.9277626132687,6,-1.23600861818436,Ajabsido
PR1314_2484,74.966666668,-9.20495944101895,3.91620044071414,0.0466238917854436,229.39999998,-42.8188503800219,9.8000000002,1.21006059938787,Ajabsido
