Taxa,family_ID,meanLPBL,meanUPB,meanRL,meanRD
PR1314_1079,P898012,68.7499999975,56.8456711605207,231.16666665,9.5
PR1314_1080,P898012,52.233333332,46.5942292847487,213.13333334,9.1333333334
PR1314_1081,P898012,84.166666672,58.9334919130837,258.40000002,9
PR1314_1082,P898012,119.25,35.5815292029413,324.41666665,8.25
PR1314_1084,P898012,57.266666666,48.0253669275835,212.26666668,7.9333333334
PR1314_1085,P898012,62.8333333325,56.3319542590709,255.66666665,7.5833333335
PR1314_1086,P898012,70.5,59.66666667,211.6666667,6.666666667
PR1314_1087,P898012,70.88888889,42.9186452926704,227.555555566667,6.222222222
PR1314_1088,P898012,73.266666664,48.5207199957004,280.49999998,8.8
PR1314_1089,P898012,69.958333335,41.4545048897382,255.166666675,8.16666666675
PR1314_1090,P898012,73.833333335,48.223092104649,251.3333333,9.00000000075
PR1314_1091,P898012,92.458333325,81.3765823005782,239.750000025,7.58333333325
PR1314_1092,P898012,84.099999994,41.6663806907865,262.8,7.7333333332
PR1314_1093,P898012,60.199999998,34.3254704650431,205.4,6.7999999998
PR1314_1094,P898012,58.400000002,39.0513552495305,222.56666666,8.2666666666
PR1314_1095,P898012,83.4166666675,46.3625905128875,289.1111111,7.77777777766667
PR1314_1096,P898012,83.125,40.7311728137125,254.166666675,7.12499999975
PR1314_1097,P898012,87.375,30.8480326757517,239.53333334,8.0666666666
PR1314_1098,P898012,82.25,54.1337721137132,296.58333335,8.75
PR1314_1099,P898012,80.7777777766667,30.2737866288114,267.444444433333,8.33333333333333
PR1314_1100,P898012,77.300000002,62.6438651399427,258.33333334,8.8666666666
PR1314_1101,P898012,55.8750000025,35.4007577125645,216.111111133333,7.33333333333333
PR1314_1102,P898012,67.38888889,46.7908695388436,216.888888866667,7.77777777766667
PR1314_1103,P898012,79.46666666,47.8667081828555,244.00000002,9.3333333334
PR1314_1104,P898012,84.8333333325,40.5323356288293,296.25,6.91666666675
PR1314_1105,P898012,60.333333334,33.824408441087,239.83333334,6.8333333332
PR1314_1106,P898012,71.36666667,51.7311293589923,236.083333325,7.41666666675
PR1314_1107,P898012,59.1666666675,42.3328859070456,250.916666675,9.25
PR1314_1108,P898012,70.166666676,38.557535415961,242.458333325,8.62500000025
PR1314_1109,P898012,63.833333335,30.9614455625684,219.3333333,7
PR1314_1110,P898012,98.733333338,45.4400222805319,296,8.2
PR1314_1111,P898012,97.166666672,73.851677933414,277.46666668,7.8666666668
PR1314_1112,P898012,88.999999994,44.2699382948401,271.125,8.58333333325
PR1314_1113,P898012,68.5416666675,40.0404789489783,250.083333325,8.08333333325
PR1314_1114,P898012,63.5000000033333,46.9738018308565,241.333333333333,6.777777778
PR1314_1115,P898012,79.499999994,31.1662092730935,258.23333332,9.2666666666
PR1314_1116,P898012,76.083333335,39.1661362492236,225.25,8.3333333325
PR1314_1117,P898012,78.416666665,33.3291664040672,257.83333335,8
PR1314_1118,P898012,68.583333335,44.608793356735,237.33333335,9.1666666665
PR1314_1119,P898012,108.5833333325,50.5940753403359,303,8.83333333325
PR1314_1120,P898012,81.899999988,47.3568470137945,261.4,8.3666666672
PR1314_1121,P898012,65.9,43.1690336241132,219.08333335,9.8333333325
PR1314_1122,P898012,83.5555555533333,42.0187498552519,264.8888889,8.111111111
PR1314_1123,P898012,83.3749999925,50.6674898633539,272.66666665,9.08333333425
PR1314_1124,P898012,57.7777777766667,41.5445312294527,259.41666665,7
PR1314_1125,P898012,73.458333335,39.3887134589301,231.916666675,7.83333333325
PR1314_1126,P898012,58.300000002,55.8146942719448,197.2,8.2
PR1314_1127,P898012,107.26666666,67.5721444326525,289.06666666,9.2333333332
PR1314_1128,P898012,105.966666674,54.2826744957453,294.36666666,9.3333333334
PR1314_1129,P898012,73.566666668,42.2277849757243,264.56666666,8.3
PR1314_1130,P898012,79.033333334,46.8789006397258,255.13333334,10.0333333328
PR1314_1131,P898012,44.0833333325,40.2174891401516,144.416666675,6.83333333325
PR1314_1132,P898012,73.833333334,35.6224084021226,259.2,8.9333333334
PR1314_1133,P898012,70.0833333325,34.4157283808713,229.541666675,7.875
PR1314_1134,P898012,72.083333335,43.9668870401804,266.416666675,9.5833333325
PR1314_1135,P898012,94.2777777766667,34.0295382798106,279.666666666667,9.55555555666667
PR1314_1136,P898012,75.1666666675,48.8152393795983,284.75,9.75000000075
PR1314_1137,P898012,72.5416666675,47.3569737250942,226.291666675,7.04166666675
PR1314_1138,P898012,86.375,38.1989166616179,258.250000025,8.25
PR1314_1139,P898012,57.9444444433333,43.9347441002696,268.58333335,9.3333333325
PR1314_1140,P898012,114.944444433333,45.013562442471,293.222222233333,7.777777778
PR1314_1141,P898012,75.7083333325,36.7270903330491,265.6,10.266666668
PR1314_1142,P898012,91.699999994,42.2625085476307,222.53333334,8.2
PR1314_1143,P898012,66.708333335,51.5956445333668,251.25,8
PR1314_1144,P898012,101.600000006,69.6655813578264,265.4,7.7333333334
PR1314_1145,P898012,87.833333326,35.7457104116479,254.06666668,7.266666666
PR1314_1146,P898012,96.208333335,54.5914226209236,260.083333325,8
PR1314_1147,P898012,96.77777779,78.6947486241548,309.555555566667,9.44444444333333
PR1314_1148,P898012,45.833333335,43.6649149677632,183.833333325,8.41666666675
PR1314_1149,P898012,107.26666666,44.8184644229528,273.43333334,8.2333333326
PR1314_1150,P898012,49.033333332,38.0552486538322,211.13333334,9.0666666668
PR1314_1151,P898012,99.2916666675,58.9016752555998,283.416666675,7.625
PR1314_1152,P898012,73.833333332,69.6214922081222,244.13333336,9.0666666668
PR1314_1153,P898012,59.72222222,45.6561919127486,220.666666666667,9
PR1314_1154,P898012,71.916666665,39.5435896233651,243.16666665,7.50000000025
PR1314_1155,P898012,67,39.5352510969777,265,8
PR1314_1156,P898012,55.566666668,35.9143158336478,203.26666668,8.1333333332
